x_m,y_m
3.666960709167032206e+00,-4.876919837433077554e+00
3.699778339748335476e+00,-4.875228387959370302e+00
3.732367397463896896e+00,-4.873616673270337429e+00
3.765562255731371266e+00,-4.872107613721930797e+00
3.797898086353930669e+00,-4.870732452237779064e+00
3.831562677560285124e+00,-4.869407688696919756e+00
3.864307483516248976e+00,-4.868339117295626295e+00
3.896463035774635486e+00,-4.867267155373069087e+00
3.930329142411690846e+00,-4.866317657606717084e+00
3.962699514392880040e+00,-4.865556006911459619e+00
3.995772040413894999e+00,-4.864840302695525587e+00
4.028586912841637613e+00,-4.864276765532536295e+00
4.061149289279757824e+00,-4.863774328417392212e+00
4.094295523450762531e+00,-4.863377651904270849e+00
4.127361238771556806e+00,-4.863130986433700897e+00
4.160056087080515219e+00,-4.862997973841752142e+00
4.192445496135273508e+00,-4.862920433247746033e+00
4.225257317508360977e+00,-4.862888208380678812e+00
4.258869878531991837e+00,-4.863042680530056394e+00
4.291406337171576268e+00,-4.863334257272048156e+00
4.323794883307430226e+00,-4.863655797436340578e+00
4.356650340482202566e+00,-4.864045080265984922e+00
4.389627795679667877e+00,-4.864571056399155324e+00
4.421940123774327880e+00,-4.865143249672368775e+00
4.455523538718212606e+00,-4.865850615292927728e+00
4.488130369754157023e+00,-4.866721240721330943e+00
4.520122052382805400e+00,-4.867552759458780187e+00
4.553248974614000133e+00,-4.868489871647695644e+00
4.586250570869211174e+00,-4.869571758433631992e+00
4.618763663418039123e+00,-4.870733157001859936e+00
4.651326225087641042e+00,-4.871939538388867952e+00
4.684313692861419298e+00,-4.873271103670906435e+00
4.716788203915777800e+00,-4.874674066904212566e+00
4.749166099237736027e+00,-4.876109932606351727e+00
4.781742900700972854e+00,-4.877602948694804041e+00
4.814605633309009036e+00,-4.879201766165071952e+00
4.847520893167812872e+00,-4.880923047811763560e+00
4.880013574003459809e+00,-4.882717201630590864e+00
4.912448889903752836e+00,-4.884545411117551694e+00
4.945330283824430850e+00,-4.886491191119705313e+00
4.977772948819620957e+00,-4.888500470987820812e+00
5.010048960315280020e+00,-4.890530896530480121e+00
5.042501806770397721e+00,-4.892606800364450059e+00
5.075337760362067741e+00,-4.894795621597152646e+00
5.107716573445321373e+00,-4.897041069395620561e+00
5.140090761271499886e+00,-4.899313284382594169e+00
5.172893865135590019e+00,-4.901702362973754390e+00
5.205266125714515191e+00,-4.904141940180480219e+00
5.237499725902341474e+00,-4.906598284008155453e+00
5.269842443508033547e+00,-4.909093775967612316e+00
5.302396153738324180e+00,-4.911662877088505574e+00
5.335171845772362254e+00,-4.914341807958782837e+00
5.367701594023604805e+00,-4.917107271989360484e+00
5.399356516522082927e+00,-4.919794736907835642e+00
5.432041848030129572e+00,-4.922565264796286755e+00
5.464967961225950077e+00,-4.925512015875247229e+00
5.496592396131269709e+00,-4.928365992750666003e+00
5.528909977830456235e+00,-4.931250739405872885e+00
5.561580892993662317e+00,-4.934260446471284922e+00
5.593649808936448586e+00,-4.937261041974679188e+00
5.626007495431712968e+00,-4.940307097686156723e+00
5.658494540626652913e+00,-4.943438010211104405e+00
5.690583459021555157e+00,-4.946569150248436131e+00
5.722874955363230320e+00,-4.949738710975021938e+00
5.755340652880168051e+00,-4.952989387210959826e+00
5.787512414642641545e+00,-4.956259004303221971e+00
5.819531159515280549e+00,-4.959524224893586464e+00
5.851558858546119346e+00,-4.962789489374402230e+00
5.883936616071978598e+00,-4.966119194368198819e+00
5.916278252994451314e+00,-4.969511602822880292e+00
5.948200415929064455e+00,-4.972878083481687916e+00
5.980315457153688286e+00,-4.976261306572780541e+00
6.012686414173242788e+00,-4.979714740646180360e+00
6.044992231368047086e+00,-4.983216679790700709e+00
6.077124992856558272e+00,-4.986738552096520394e+00
6.109027517217555214e+00,-4.990239792544213238e+00
6.141077200299727146e+00,-4.993751642344369301e+00
6.173299825985748335e+00,-4.997311650365243274e+00
6.205222313120449584e+00,-5.000856741067194910e+00
6.237035453862800338e+00,-5.004364632387778400e+00
6.269272242280007568e+00,-5.007925674184705578e+00
6.301579362190508071e+00,-5.011550372617222138e+00
6.333552589743806749e+00,-5.015163726534186850e+00
6.365468023951236454e+00,-5.018761588728771983e+00
6.397501721087674120e+00,-5.022374160324282855e+00
6.429534822689684681e+00,-5.025998932665427965e+00
6.461512994401726218e+00,-5.029623439557764364e+00
6.493527669035074723e+00,-5.033255355327106884e+00
6.525619681371520819e+00,-5.036909810013924904e+00
6.557664590754137990e+00,-5.040577659460883986e+00
6.589582910720367614e+00,-5.044234195442687252e+00
6.621409350773262759e+00,-5.047865642435722222e+00
6.653202813575227914e+00,-5.051470020787543369e+00
6.685035522442401401e+00,-5.055052860945590254e+00
6.717094665232071549e+00,-5.058657197813353434e+00
6.749249214808223485e+00,-5.062299146049555887e+00
6.781129285866406953e+00,-5.065919280204128405e+00
6.812851673207657832e+00,-5.069491907555188526e+00
6.844699266707610086e+00,-5.073050151016412990e+00
6.876691211210182786e+00,-5.076616362257444059e+00
6.908838002928369804e+00,-5.080215147684929988e+00
6.940747967444869992e+00,-5.083804593797272453e+00
6.972209945763869321e+00,-5.087298126666878417e+00
7.003962358814656675e+00,-5.090758143551859405e+00
7.036092629194996562e+00,-5.094260457327137281e+00
7.067913200618047398e+00,-5.097733014328493795e+00
7.099575525798856646e+00,-5.101144422016103519e+00
7.131486605437077131e+00,-5.104552047869303166e+00
7.163548322633734422e+00,-5.107977505286806164e+00
7.195601249972310320e+00,-5.111417884502481357e+00
7.227021623994462018e+00,-5.114758506852417064e+00
7.258360518220367652e+00,-5.117977326705647201e+00
7.290715190681199331e+00,-5.121278750425240389e+00
7.322732660593665344e+00,-5.124596209840396988e+00
7.354117873441438746e+00,-5.127790043614832705e+00
7.386052967569503025e+00,-5.130980797331868182e+00
7.417960027615732699e+00,-5.134171606853049852e+00
7.449372874765742836e+00,-5.137253574768676501e+00
7.481227997103356842e+00,-5.140312113306012343e+00
7.513195831696044102e+00,-5.143379730814906736e+00
7.544644647277155336e+00,-5.146346739542399185e+00
7.576349580688567897e+00,-5.149260624356556626e+00
7.608301342131136735e+00,-5.152172929564557968e+00
7.640138901356836598e+00,-5.155053134719070229e+00
7.671923778607810718e+00,-5.158661647807980088e+00
7.703689671566698927e+00,-5.162081058803124733e+00
7.735272641440684716e+00,-5.165283162340280398e+00
7.766614304980242522e+00,-5.168235651788341656e+00
7.798179894375484089e+00,-5.170963974774373639e+00
7.830553925563591200e+00,-5.173620018231542161e+00
7.862350611914441068e+00,-5.176120508082200367e+00
7.893707131707012437e+00,-5.178377780595129209e+00
7.925192659243434967e+00,-5.180428762111848329e+00
7.957030475245178813e+00,-5.182330137744338039e+00
7.988930773754999493e+00,-5.184104657448795450e+00
8.020768346747505717e+00,-5.185737020925978769e+00
8.052854602699540010e+00,-5.187274344846905194e+00
8.084165691496114192e+00,-5.188627210825865532e+00
8.115311950722148282e+00,-5.189725376449310090e+00
8.147876507029865323e+00,-5.190813207685280872e+00
8.179480303974132838e+00,-5.191790985514151302e+00
8.210968976950185905e+00,-5.192585660301299200e+00
8.243033035402708819e+00,-5.193324260191912067e+00
8.274362254227053626e+00,-5.193911142353135446e+00
8.306127272760857494e+00,-5.194377329161824264e+00
8.338026353520548994e+00,-5.194791111624005531e+00
8.369326132724605571e+00,-5.195057462776162538e+00
8.401260775772087186e+00,-5.195250342812971489e+00
8.432898916857995530e+00,-5.195380449011787860e+00
8.464259602420803219e+00,-5.195383594501524094e+00
8.496141679633563371e+00,-5.195334407348812356e+00
8.528073710923894879e+00,-5.195260998784828388e+00
8.559678531327181261e+00,-5.195138719444504893e+00
8.590965490497577406e+00,-5.194922783309711356e+00
8.622290754065872420e+00,-5.194615238433447857e+00
8.654035077126286168e+00,-5.194264722377528010e+00
8.685924368599225787e+00,-5.193914873291932466e+00
8.717596583697250878e+00,-5.193560110111818950e+00
8.748842343160339041e+00,-5.193152522482706424e+00
8.780066125933993604e+00,-5.192679440445029826e+00
8.811660092007283396e+00,-5.192174355033322364e+00
8.843501571145564455e+00,-5.191691531463352938e+00
8.875212096325984845e+00,-5.191240714313561710e+00
8.906456327504930215e+00,-5.190783304065022641e+00
8.937551716340669472e+00,-5.190287524455457380e+00
8.969118906392145263e+00,-5.189775072529043243e+00
9.000819766593544102e+00,-5.189318553016022406e+00
9.031877801080630874e+00,-5.188865425704419998e+00
9.063672928809248575e+00,-5.188426948114628345e+00
9.095064486253612301e+00,-5.188060733107021427e+00
9.126093233067388510e+00,-5.187701383947528555e+00
9.157389224768580860e+00,-5.187340550299199826e+00
9.189207496655704688e+00,-5.187044845174924035e+00
9.220264897363813716e+00,-5.186830185928123171e+00
9.251883497320779526e+00,-5.186631179818228077e+00
9.283407959335011839e+00,-5.185621185548106915e+00
9.314462109926511246e+00,-5.184495086872652259e+00
9.346233427846872388e+00,-5.183255295973731691e+00
9.377435281614635798e+00,-5.181960364560548982e+00
9.408382270584008111e+00,-5.180533696628593532e+00
9.439762772909974231e+00,-5.178951415434481120e+00
9.471413546723411514e+00,-5.177292551929167708e+00
9.502405979863036478e+00,-5.175561451845985594e+00
9.533363010980734131e+00,-5.173679943692495620e+00
9.565007150598331620e+00,-5.171645357475683547e+00
9.596248070108782002e+00,-5.169572550265344901e+00
9.627324533152641806e+00,-5.167365199631339223e+00
9.659000507993951601e+00,-5.165040799414803097e+00
9.689918380242716012e+00,-5.162669429605769800e+00
9.720952542237375482e+00,-5.160141934329040225e+00
9.751821868204570976e+00,-5.157491476695857280e+00
9.782936946511831877e+00,-5.154672152989137501e+00
9.814584061737434695e+00,-5.151723169051306783e+00
9.846045063389356145e+00,-5.148746238933725294e+00
9.876188236340391668e+00,-5.145730476119809715e+00
9.907414478770432353e+00,-5.142416217831802250e+00
9.939140657844500737e+00,-5.138995978888195815e+00
9.969879114737073778e+00,-5.135606406065917007e+00
1.000016767683139030e+01,-5.132045304700149302e+00
1.003170385908075701e+01,-5.128213963508844841e+00
1.006315248082131397e+01,-5.124350181648916092e+00
1.009319200312976861e+01,-5.120510670740104686e+00
1.012409828428788039e+01,-5.116347001774866676e+00
1.015571381755672675e+01,-5.112020923032548403e+00
1.018634251214895237e+01,-5.107760044414773937e+00
1.021635921657197699e+01,-5.103342087464927346e+00
1.024783449689136106e+01,-5.098599225257474110e+00
1.027811765372601549e+01,-5.093910353876594854e+00
1.030938669999314961e+01,-5.088924775584323434e+00
1.033997438007741465e+01,-5.083960665776247723e+00
1.037027521511310191e+01,-5.078859101395083897e+00
1.040108411989474213e+01,-5.073513163070089149e+00
1.043193782773125022e+01,-5.068064875311835138e+00
1.046210090280908389e+01,-5.062578786743194392e+00
1.049249289519057982e+01,-5.056861156173256155e+00
1.052356486616091935e+01,-5.050917157527753609e+00
1.055273099985953422e+01,-5.045152639466031097e+00
1.058424654365803264e+01,-5.038717899323007288e+00
1.061411135023503149e+01,-5.032584059099937335e+00
1.064432257867672504e+01,-5.026110049846061578e+00
1.067496255579685815e+01,-5.019464825072319059e+00
1.070451612729265456e+01,-5.012857164593158110e+00
1.073463378350146513e+01,-5.005908505064441627e+00
1.076531602753309613e+01,-4.998723815779479551e+00
1.079499744229429226e+01,-4.991622081251477994e+00
1.082465543089057647e+01,-4.984300100473250339e+00
1.085529068978470413e+01,-4.976594981114351057e+00
1.088478041608392743e+01,-4.969045712367502254e+00
1.091431828702918061e+01,-4.961244566038578441e+00
1.094454932542329217e+01,-4.953096598506601111e+00
1.097340661959840880e+01,-4.945155359592001254e+00
1.100364783065951890e+01,-4.936555258634656163e+00
1.103323653998926446e+01,-4.928108291930644924e+00
1.106198137490116373e+01,-4.919566326385638177e+00
1.109213796479093972e+01,-4.910488036089482478e+00
1.112095736632033649e+01,-4.901610229438880140e+00
1.115013386493512471e+01,-4.892382893696893831e+00
1.117956474211056239e+01,-4.882895547432321237e+00
1.120855164985256458e+01,-4.873366124963300905e+00
1.123708123781817392e+01,-4.863730478382627176e+00
1.126608015717850186e+01,-4.853706399099873892e+00
1.129510237133338890e+01,-4.843468091776118811e+00
1.132466057858070840e+01,-4.832927624108980247e+00
1.135190006587670908e+01,-4.822933822140377025e+00
1.138116160908372620e+01,-4.811922862878057039e+00
1.140958849108530337e+01,-4.801864267531953168e+00
1.143759796866573630e+01,-4.791481321431041884e+00
1.146693032511221411e+01,-4.780220414451203048e+00
1.149456861969146360e+01,-4.769273527463655959e+00
1.152249215709429286e+01,-4.757740282227957529e+00
1.155096871886250298e+01,-4.745624685002139742e+00
1.157848258777687356e+01,-4.733563497763678463e+00
1.160556321136101410e+01,-4.721229721088472608e+00
1.163358729313081241e+01,-4.708111621813078074e+00
1.166049518490911474e+01,-4.695152146999179266e+00
1.168711842785896593e+01,-4.681862708044579158e+00
1.171456888050396827e+01,-4.667841235776401199e+00
1.174091217499212547e+01,-4.653991532944123044e+00
1.176736525357409135e+01,-4.639678857998332795e+00
1.179383114859592219e+01,-4.625008568482571469e+00
1.181944955779339423e+01,-4.610397690390185765e+00
1.184534287447995382e+01,-4.595191143789790544e+00
1.187139224763459211e+01,-4.579610410410992039e+00
1.189618688468190477e+01,-4.564328171243322352e+00
1.192184638160630961e+01,-4.548131227125870701e+00
1.194702121077067680e+01,-4.531934665170896714e+00
