x_m,y_m,vx_mps
3.690404592020310126e+00,-5.315454527860460132e+00,3.500000000000000000e+00
3.721950548453729191e+00,-5.316699764817144569e+00,3.500000000000000000e+00
3.753730711212564852e+00,-5.317988461627618513e+00,3.500000000000000000e+00
3.784849127440081951e+00,-5.319392140907007516e+00,3.500000000000000000e+00
3.816892901862995569e+00,-5.320772651331081349e+00,3.448241241416914793e+00
3.847454673539322467e+00,-5.322203704910001498e+00,3.376513517455030478e+00
3.879033156256615822e+00,-5.323835786468273490e+00,3.300744377964300647e+00
3.911271908091730420e+00,-5.325580985192024386e+00,3.221542826270651361e+00
3.941551706898871466e+00,-5.327678774844669896e+00,3.153802441539251600e+00
3.973541892096548622e+00,-5.329965460953543399e+00,3.071371177304759392e+00
4.004699661440201730e+00,-5.332390971802554169e+00,2.988860710762674788e+00
4.036146339068974243e+00,-5.334980977660704227e+00,2.903177199144888920e+00
4.067881898207011737e+00,-5.337617188955130487e+00,2.814057575020306956e+00
4.098892970042071759e+00,-5.340336368036700421e+00,2.724121713046190774e+00
4.129978572227438249e+00,-5.343126956921435244e+00,2.630868560009848256e+00
4.161505035674755604e+00,-5.345920830003839441e+00,2.532798668640329431e+00
4.193404375469611089e+00,-5.348633772468840419e+00,2.429575511145142475e+00
4.224757038119022923e+00,-5.352152553328472173e+00,2.493658399952942695e+00
4.255046576477721665e+00,-5.355816878127002134e+00,2.554101806061326307e+00
4.286703735795235559e+00,-5.359573660992046129e+00,2.615765459531392612e+00
4.318545872258088281e+00,-5.363284907707130067e+00,2.676341862353970313e+00
4.349751766136591868e+00,-5.366945900104188816e+00,2.734411244424372445e+00
4.380767988281737857e+00,-5.370603654892591727e+00,2.790934687488880961e+00
4.412676977299038406e+00,-5.374175827645848891e+00,2.847876330945224410e+00
4.442813935800272951e+00,-5.377635176223567015e+00,2.789497320558997462e+00
4.474278442322172644e+00,-5.381095517552594742e+00,2.697188890411367890e+00
4.506609004931164897e+00,-5.384322298260349804e+00,2.599032296690783728e+00
4.537330150947779472e+00,-5.387318466902977221e+00,2.502218694558515644e+00
4.568178757081639674e+00,-5.391099392932236611e+00,2.563570331682715864e+00
4.599709941114841882e+00,-5.394856346831885752e+00,2.624773325651645006e+00
4.631162308883469692e+00,-5.398493216805963613e+00,2.684409503435941868e+00
4.661977383946083187e+00,-5.402031394432607492e+00,2.741574318554132805e+00
4.693533219759674857e+00,-5.405491622155881970e+00,2.798871125079651634e+00
4.725232017510239579e+00,-5.408777258894751583e+00,2.855234808827959991e+00
4.756634607545541904e+00,-5.411859878222199605e+00,2.909965825435926856e+00
4.787602717506092453e+00,-5.414754267695709444e+00,2.962926233189540515e+00
4.818482119348019843e+00,-5.417481821590879321e+00,2.878114658351886401e+00
4.849996420406915476e+00,-5.420040120582430454e+00,2.788845004118209125e+00
4.881554674107517755e+00,-5.423249897022105692e+00,2.845147995989537826e+00
4.912425063379366463e+00,-5.426346075717031425e+00,2.899158463999327306e+00
4.943955155011575897e+00,-5.429393500153301133e+00,2.953284608721985283e+00
4.975744355148803422e+00,-5.432299812652671811e+00,3.006843487460269859e+00
5.007267890367416818e+00,-5.435021667517233368e+00,2.947452797800794499e+00
5.038199302511682909e+00,-5.437575110576248427e+00,2.861973433506397768e+00
5.069832944316108758e+00,-5.440033740840208409e+00,2.771863497613465732e+00
5.101485281258415050e+00,-5.442279765519867141e+00,2.678715447797299198e+00
5.132480072926881576e+00,-5.444308813336430575e+00,2.584286803055817483e+00
5.164074122838052894e+00,-5.447124062039401693e+00,2.644944345429547816e+00
5.195883850539535054e+00,-5.449875207739897753e+00,2.704628505050135079e+00
5.227527445985169940e+00,-5.452530253400778903e+00,2.762709395687627634e+00
5.258843083081880643e+00,-5.455095021901144037e+00,2.819001259422844630e+00
5.289807577800439198e+00,-5.457592636910820971e+00,2.873572464801117388e+00
5.321141018675285217e+00,-5.460090595884774523e+00,2.927754643295656489e+00
5.353837244895058411e+00,-5.462560465067946680e+00,2.963712732941083061e+00
5.384958543109467755e+00,-5.464745438252840870e+00,2.878267999107054997e+00
5.415692429177839884e+00,-5.466892354901893292e+00,2.791323373277093012e+00
5.448437304288471950e+00,-5.469083076520509401e+00,2.695625522852024503e+00
5.480057253873294343e+00,-5.471905239907734142e+00,2.753879696806246447e+00
5.511114428837158741e+00,-5.474766703184832828e+00,2.809936041585780586e+00
5.543084157640537413e+00,-5.477758028515744115e+00,2.866502093016754849e+00
5.574606639978552103e+00,-5.480725296500403410e+00,2.921207381198874131e+00
5.605913569144031605e+00,-5.483742664076769024e+00,2.974554179478258398e+00
5.637821758137313566e+00,-5.486856185509096484e+00,3.027964647430437584e+00
