x_m,y_m,vx_mps
9.327529137529163350e+00,1.180000000000003935e+00,1.336000056695479943e+00
9.338018648018673318e+00,1.280000000000004468e+00,1.670443830988757039e+00
9.344195804195829069e+00,1.380000000000004778e+00,1.927527733687199207e+00
9.336853146853171026e+00,1.480000000000004645e+00,1.570418300752819851e+00
9.350023310023335199e+00,1.580000000000004956e+00,1.864094690294655576e+00
9.370186480186506017e+00,1.680000000000005267e+00,2.120135414282170228e+00
9.388018648018674028e+00,1.780000000000005578e+00,2.096980483667919781e+00
9.394195804195829780e+00,1.880000000000006111e+00,2.198612891917070655e+00
9.390000000000025437e+00,1.980000000000006199e+00,2.415528617109933052e+00
9.390000000000025437e+00,2.080000000000006732e+00,2.493019355513090840e+00
9.390000000000025437e+00,2.180000000000006821e+00,2.148288971940903735e+00
9.385804195804221095e+00,2.280000000000007354e+00,1.736012023128286508e+00
9.384638694638720580e+00,2.380000000000007887e+00,1.188961343652024327e+00
9.421818181818210292e+00,2.480000000000007532e+00,1.574962974200423860e+00
9.475780885780915597e+00,2.580000000000007621e+00,1.901793105831473207e+00
9.533123543123572574e+00,2.680000000000008153e+00,1.694578263528381923e+00
9.567156177156206809e+00,2.780000000000008242e+00,1.605693177165647745e+00
9.579976689976717807e+00,2.880000000000008775e+00,1.893788626356222249e+00
9.593146853146880204e+00,2.980000000000009308e+00,1.759590258747159019e+00
9.590000000000028280e+00,3.080000000000009397e+00,2.024018994573911545e+00
9.590000000000028280e+00,3.180000000000009486e+00,2.257576773976023521e+00
9.590000000000028280e+00,3.280000000000010019e+00,2.469140111535996773e+00
9.590000000000028280e+00,3.380000000000010107e+00,2.663954370929801918e+00
9.590000000000028280e+00,3.480000000000010640e+00,2.845461806174175656e+00
9.590000000000028280e+00,3.580000000000010729e+00,3.016065796761735474e+00
9.590000000000028280e+00,3.680000000000011262e+00,3.177523074722826912e+00
9.590000000000028280e+00,3.830000000000011173e+00,3.405385865125420519e+00
9.590000000000028280e+00,3.930000000000011262e+00,3.549176367891007988e+00
9.590000000000028280e+00,4.030000000000011795e+00,3.687363948730313812e+00
9.590000000000028280e+00,4.130000000000012328e+00,3.820556620493408939e+00
9.590000000000028280e+00,4.230000000000012861e+00,3.949259790188032415e+00
9.590000000000028280e+00,4.380000000000012328e+00,4.134809897733632944e+00
9.590000000000028280e+00,4.480000000000012861e+00,4.254016089578884774e+00
9.590000000000028280e+00,4.580000000000013394e+00,4.369971726498471654e+00
9.590000000000028280e+00,4.680000000000013927e+00,4.385807384167906164e+00
9.590000000000028280e+00,4.780000000000014460e+00,4.199441202234139858e+00
9.590000000000028280e+00,4.930000000000014815e+00,3.903243063277217040e+00
