x_m,y_m,vx_mps
9.007684299794162186e+00,1.237656567486027148e+00,2.319486389390737369e+00
9.014141276589088037e+00,1.306989780952468205e+00,1.670443830988757039e+00
9.019201322526706477e+00,1.378106092764168844e+00,1.927527733687199207e+00
9.011991020854253520e+00,1.489465679661978292e+00,1.570418300752819851e+00
9.029445284777889214e+00,1.633429670874248396e+00,1.864094690294655576e+00
9.050897168632918266e+00,1.740657526553893275e+00,2.120135414282170228e+00
9.065335455445698187e+00,1.818737026614243302e+00,2.096980483667919781e+00
9.069211751404424149e+00,1.883219538984535424e+00,2.198612891917070655e+00
9.065071495790583356e+00,1.973183318093514105e+00,2.415528617109933052e+00
9.065000000000026148e+00,2.080000000000006732e+00,2.493019355513090840e+00
9.065071495790583356e+00,2.173183318093514949e+00,2.148288971940903735e+00
9.060920903764523970e+00,2.271291007322953526e+00,1.736012023128286508e+00
9.064783014882854317e+00,2.437596389886121706e+00,1.188961343652024327e+00
9.126079061368796985e+00,2.614771557221133413e+00,1.574962974200423860e+00
9.191796942483959398e+00,2.738044677067953181e+00,1.901793105831473207e+00
9.237514568440863272e+00,2.815056780973926198e+00,1.694578263528381923e+00
9.250723196301212425e+00,2.854129404605895370e+00,1.605693177165647745e+00
9.257686693867862360e+00,2.921882674319511874e+00,1.893788626356222249e+00
9.268554232053478614e+00,2.996267462362499856e+00,1.759590258747159019e+00
9.265040222188620334e+00,3.074886996502978587e+00,2.024018994573911545e+00
9.265000000000028990e+00,3.180000000000009486e+00,2.257576773976023521e+00
9.265000000000028990e+00,3.280000000000010019e+00,2.469140111535996773e+00
9.265000000000028990e+00,3.380000000000010107e+00,2.663954370929801918e+00
9.265000000000028990e+00,3.480000000000010640e+00,2.845461806174175656e+00
9.265000000000028990e+00,3.580000000000010729e+00,3.016065796761735474e+00
9.265000000000028990e+00,3.680000000000011262e+00,3.177523074722826912e+00
9.265000000000028990e+00,3.830000000000011173e+00,3.405385865125420519e+00
9.265000000000028990e+00,3.930000000000011262e+00,3.549176367891007988e+00
9.265000000000028990e+00,4.030000000000011795e+00,3.687363948730313812e+00
9.265000000000028990e+00,4.130000000000012328e+00,3.820556620493408939e+00
9.265000000000028990e+00,4.230000000000012861e+00,3.949259790188032415e+00
9.265000000000028990e+00,4.380000000000012328e+00,4.134809897733632944e+00
9.265000000000028990e+00,4.480000000000012861e+00,4.254016089578884774e+00
9.265000000000028990e+00,4.580000000000013394e+00,4.369971726498471654e+00
9.265000000000028990e+00,4.680000000000013927e+00,4.385807384167906164e+00
9.265000000000028990e+00,4.780000000000014460e+00,4.199441202234139858e+00
9.265000000000028990e+00,4.930000000000014815e+00,3.903243063277217040e+00
9.265000000000028990e+00,5.030000000000015348e+00,3.692601577617290687e+00
9.265000000000028990e+00,5.130000000000015881e+00,3.469193913724295530e+00
9.265000000000028990e+00,5.230000000000016414e+00,3.230372487968173445e+00
9.265000000000028990e+00,5.380000000000015881e+00,2.834661604322762152e+00
9.265071495790586198e+00,5.486816681906505622e+00,2.536790572952699829e+00
9.269211751404425215e+00,5.576780461015485635e+00,2.198612891917250511e+00
9.264601842183040503e+00,5.647959873547772069e+00,2.415741023975894297e+00
9.254461774981155742e+00,5.722764803970795455e+00,2.484197087208789068e+00
9.238922413838634995e+00,5.793637436018197917e+00,2.271686381559740120e+00
9.210932007387691911e+00,5.877225976044541333e+00,2.052900571248870598e+00
9.192206791924638409e+00,5.940134402564432925e+00,1.589363149730538050e+00
9.160939353898994497e+00,5.990110993868706046e+00,1.874040010893895936e+00
9.116493069625908774e+00,6.040345939986926815e+00,1.983865984873218746e+00
9.065291930479103755e+00,6.083847709004806426e+00,1.646759581882229373e+00
9.032199693821207021e+00,6.100904956685567981e+00,1.416170815975192232e+00
8.993880583795458961e+00,6.105258647347620915e+00,1.739053135711086107e+00
8.903118585887442649e+00,6.113276612211922867e+00,2.007121253928481952e+00
8.785843671347153716e+00,6.129357450957226838e+00,2.244502266413183289e+00
8.686570329125784085e+00,6.149398664731262620e+00,2.170247561627499433e+00
8.623732537637534890e+00,6.158554232053470301e+00,1.759590258747062430e+00
8.544090585041576702e+00,6.155025743921145320e+00,2.024018994573830721e+00
8.390000000000025437e+00,6.155000000000019789e+00,2.365724601553538253e+00
8.290000000000022240e+00,6.155000000000019789e+00,2.568395002797599247e+00
8.140000000000023661e+00,6.155000000000019789e+00,2.845461806174116592e+00
7.990000000000024194e+00,6.155000000000019789e+00,2.983522852548053272e+00
7.890000000000023661e+00,6.155000000000019789e+00,2.702111879933261296e+00
7.784546222591495201e+00,6.155045762741943705e+00,2.387762260292352057e+00
7.633031905150923890e+00,6.159270511775899237e+00,1.816719536430164261e+00
7.586119416204589072e+00,6.163650255739230310e+00,1.303978989976413150e+00
7.582940467965386233e+00,6.163646037441373515e+00,1.303978989976413150e+00
7.545895548701381017e+00,6.137396341227598917e+00,1.778520229681406217e+00
7.483251151616936880e+00,6.071189613356912318e+00,2.138166175899684163e+00
7.423592415138744016e+00,5.993258095049231571e+00,2.060086858532754306e+00
7.386935372678279599e+00,5.938349140375766666e+00,1.533446061069413169e+00
7.369067992612358786e+00,5.877225976044545774e+00,1.845714030065233935e+00
7.341077586161417479e+00,5.793637436018197917e+00,2.111788902168041382e+00
7.325538225018894067e+00,5.722764803970791014e+00,2.341768118672247212e+00
7.315398157817007530e+00,5.647959873547770293e+00,2.537114172198199569e+00
7.310788248595623706e+00,5.576780461015484747e+00,2.198612891917160361e+00
7.314928504209464499e+00,5.486816681906506510e+00,2.415528617110013876e+00
7.315000000000021707e+00,5.380000000000014992e+00,2.614340930345049774e+00
7.315000000000021707e+00,5.280000000000014460e+00,2.799067433999657073e+00
7.315000000000021707e+00,5.130000000000014104e+00,3.055286975077370570e+00
7.315000000000021707e+00,4.980000000000013749e+00,3.291622472288921575e+00
7.315000000000021707e+00,4.830000000000013394e+00,3.512090331992820058e+00
7.315000000000021707e+00,4.680000000000012150e+00,3.719513207407314503e+00
7.315000000000021707e+00,4.530000000000012683e+00,3.449195543518301044e+00
7.315000000000021707e+00,4.430000000000011262e+00,3.208886083585156701e+00
7.315000000000021707e+00,4.280000000000012683e+00,2.810151223230968665e+00
7.315000000000021707e+00,4.180000000000012150e+00,2.509372411067456898e+00
7.314959777811429475e+00,4.074886996502979919e+00,2.167244770999919190e+00
7.311445767946571195e+00,3.996267462362501632e+00,1.759590258747057101e+00
7.320601335268778875e+00,3.933429670874251993e+00,2.026028937039864086e+00
7.339475791740090571e+00,3.840657526553895362e+00,2.253148964923902930e+00
7.361264774690534196e+00,3.713718564495500640e+00,1.857805274784397609e+00
7.365120324658056106e+00,3.604550861637061399e+00,2.109952480622386162e+00
7.376696005974086034e+00,3.510919719242340697e+00,2.336497137345482589e+00
7.385074910586078900e+00,3.387573700242966890e+00,2.319162945086798988e+00
7.382040410663012864e+00,3.257328094906944305e+00,2.326682986729640579e+00
7.369738497866519467e+00,3.149453999211154986e+00,2.533815852724850881e+00
7.362890043484149771e+00,3.053760186340277905e+00,2.724487145767306551e+00
7.352266686085566327e+00,2.938117325680500436e+00,2.526925611141433770e+00
7.330428720872179227e+00,2.810438170853835516e+00,2.343225202721284983e+00
7.300703302261897676e+00,2.698246470032537037e+00,2.213225604073478792e+00
7.268375320418722474e+00,2.574489265518673520e+00,1.802344215543463024e+00
7.197444340149049324e+00,2.414895702239129083e+00,1.618398595834936282e+00
7.083631389843790593e+00,2.260438515121708569e+00,1.907137883851887317e+00
6.952397914890667607e+00,2.136274142591886971e+00,2.228714201676840645e+00
6.819527502143492015e+00,2.038106092065459229e+00,2.296203264763546859e+00
6.681650859624268080e+00,1.958006352263471417e+00,1.849003127036518146e+00
6.548063758257984368e+00,1.905659717836156064e+00,2.118916989540900353e+00
6.443903893526338855e+00,1.872056854419412053e+00,2.353778731387671908e+00
