x_m,y_m,vx_mps
0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00
-3.839369986096120013e-01,-1.032084728106182347e-01,6.000000000000000000e+00
-7.678753496826622449e-01,-2.064116948808926710e-01,6.000000000000000000e+00
-1.151814018982386001e+00,-3.096112573442502125e-01,6.000000000000000000e+00
-1.535752210942079587e+00,-4.128090695608243599e-01,6.000000000000000000e+00
-1.919689129995026500e+00,-5.160067226640551175e-01,6.000000000000000000e+00
-2.303623741904488487e+00,-6.192059669007193845e-01,6.000000000000000000e+00
-2.687555330660400088e+00,-7.224086320742855172e-01,6.000000000000000000e+00
-3.071483021139392644e+00,-8.256163093181935198e-01,6.000000000000000000e+00
-3.455406017774737215e+00,-9.288305102091988230e-01,6.000000000000000000e+00
-3.839324479679776303e+00,-1.032051234747307866e+00,6.000000000000000000e+00
-4.223238645524530988e+00,-1.135278244262512226e+00,6.000000000000000000e+00
-4.607148594865654978e+00,-1.238511379641455523e+00,6.000000000000000000e+00
-4.991054566373194668e+00,-1.341750481770800807e+00,6.000000000000000000e+00
-5.374956798717145823e+00,-1.444995311980533215e+00,6.000000000000000000e+00
-5.758855530567529968e+00,-1.548245552043959306e+00,6.000000000000000000e+00
-6.142750921037677614e+00,-1.651501201961079079e+00,6.000000000000000000e+00
-6.526643129240957464e+00,-1.754761863948540945e+00,6.000000000000000000e+00
-6.910532393847366173e+00,-1.858027458449659663e+00,6.000000000000000000e+00
-7.294418953526938587e+00,-1.961297746794433916e+00,6.000000000000000000e+00
-7.678302967392990119e+00,-2.064572569869506768e+00,6.000000000000000000e+00
-8.062184674115568939e+00,-2.167851689004876459e+00,6.000000000000000000e+00
-8.446064232807994898e+00,-2.271134785973836223e+00,6.000000000000000000e+00
-8.829941802583620714e+00,-2.374421860776406490e+00,6.000000000000000000e+00
-9.213817781225813519e+00,-2.477712595185880495e+00,6.000000000000000000e+00
-9.597692168734559104e+00,-2.581006750532256255e+00,6.000000000000000000e+00
-9.981565203779879880e+00,-2.684304247258855636e+00,6.000000000000000000e+00
-1.036543720458846174e+01,-2.787604767138985196e+00,6.000000000000000000e+00
-1.074930825071698415e+01,-2.890908151059315312e+00,6.000000000000000000e+00
-1.113317858083546774e+01,-2.994214239906488384e+00,6.000000000000000000e+00
