x_m,y_m,vx_mps
1.557654507862310800e-01,-5.794282736813609613e-01,6.000000000000000000e+00
-2.281808729495544141e-01,-6.826392532489449216e-01,6.000000000000000000e+00
-6.121258106414818601e-01,-7.858442458205683323e-01,6.000000000000000000e+00
-9.960682570036469841e-01,-8.890448235325251192e-01,6.000000000000000000e+00
-1.380007461596992391e+00,-9.922429079336241298e-01,6.000000000000000000e+00
-1.763942695659462823e+00,-1.095440108129337009e+00,6.000000000000000000e+00
-2.147872772008517117e+00,-1.198638133229500413e+00,6.000000000000000000e+00
-2.531797116674587844e+00,-1.301838851148118259e+00,6.000000000000000000e+00
-2.915715063398582441e+00,-1.405043909058883322e+00,6.000000000000000000e+00
-3.299627132005620744e+00,-1.508255172049314696e+00,6.000000000000000000e+00
-3.683534909016008996e+00,-1.611473023837430851e+00,6.000000000000000000e+00
-4.067438730034330874e+00,-1.714697251832376645e+00,6.000000000000000000e+00
-4.451338618639484324e+00,-1.817927681887431479e+00,6.000000000000000000e+00
-4.835234899611048576e+00,-1.921164178062262140e+00,6.000000000000000000e+00
-5.219127923607004504e+00,-2.024406531825220235e+00,6.000000000000000000e+00
-5.603017746291459211e+00,-2.127654375753026628e+00,6.000000000000000000e+00
-5.986904567715915171e+00,-2.230907720871859290e+00,6.000000000000000000e+00
-6.370788618046998586e+00,-2.334166188527234453e+00,6.000000000000000000e+00
-6.754670039051580588e+00,-2.437429673113629125e+00,6.000000000000000000e+00
-7.138549110335561387e+00,-2.540697946987267031e+00,6.000000000000000000e+00
-7.522425991020074143e+00,-2.643970851051663296e+00,6.000000000000000000e+00
-7.906301031753381281e+00,-2.747248176778056994e+00,6.000000000000000000e+00
-8.290174208635173514e+00,-2.850529556716027813e+00,6.000000000000000000e+00
-8.674045725975133792e+00,-2.953815003036547981e+00,6.000000000000000000e+00
-9.057916119392052323e+00,-3.057104234612504801e+00,6.000000000000000000e+00
-9.441785190805852324e+00,-3.160396959487445034e+00,6.000000000000000000e+00
-9.825653295134202381e+00,-3.263693129394560799e+00,6.000000000000000000e+00
-1.020952077646306222e+01,-3.366992433076582802e+00,6.000000000000000000e+00
-1.059338758731741059e+01,-3.470294677244587511e+00,6.000000000000000000e+00
-1.097725410846985028e+01,-3.573599741034626742e+00,6.000000000000000000e+00
-1.136112050754235447e+01,-3.676907287108114097e+00,6.000000000000000000e+00
-1.174498694364963036e+01,-3.780217235915548812e+00,6.000000000000000000e+00
-1.212885367052963126e+01,-3.883529273291705497e+00,6.000000000000000000e+00
-1.251272089671840071e+01,-3.986843311575208659e+00,6.000000000000000000e+00
-1.289658875775441871e+01,-4.090159047611146903e+00,6.000000000000000000e+00
-1.328045742554354902e+01,-4.193476304321063886e+00,6.000000000000000000e+00
-1.366432730014140517e+01,-4.296794944619012568e+00,6.000000000000000000e+00
-1.404819839005189763e+01,-4.400114631157123313e+00,6.000000000000000000e+00
-1.443207090809584692e+01,-4.503435277423030847e+00,6.000000000000000000e+00
-1.481594517476846207e+01,-4.606756666771365083e+00,6.000000000000000000e+00
-1.519982124377584398e+01,-4.710078553574764904e+00,6.000000000000000000e+00
-1.558369951289656719e+01,-4.813400778718246897e+00,6.000000000000000000e+00
-1.596758008752800073e+01,-4.916723110485754056e+00,6.000000000000000000e+00
-1.635146316542064682e+01,-5.020045299191761679e+00,6.000000000000000000e+00
-1.673534884970106162e+01,-5.123367170651764724e+00,6.000000000000000000e+00
-1.711923743501336759e+01,-5.226688580814781382e+00,6.000000000000000000e+00
-1.750312915150995252e+01,-5.330009310126265554e+00,6.000000000000000000e+00
-1.788702424636191779e+01,-5.433329100787187116e+00,6.000000000000000000e+00
-1.827092284003121136e+01,-5.536647804687555130e+00,6.000000000000000000e+00
-1.865482508935082606e+01,-5.639965081569767946e+00,6.000000000000000000e+00
-1.903873121791560408e+01,-5.743280927370895128e+00,6.000000000000000000e+00
-1.942264155276588511e+01,-5.846595069048222015e+00,6.000000000000000000e+00
-1.980655622060195498e+01,-5.949907237790069026e+00,6.000000000000000000e+00
-2.019047538052556590e+01,-6.053217274470966025e+00,6.000000000000000000e+00
-2.057439921521638837e+01,-6.156524925345411958e+00,6.000000000000000000e+00
-2.095832799573166483e+01,-6.259830140968631440e+00,6.000000000000000000e+00
-2.134226191981086274e+01,-6.363132512531782581e+00,6.000000000000000000e+00
-2.172620121104749202e+01,-6.466432035966263925e+00,6.000000000000000000e+00
-2.211014608451749552e+01,-6.569728328531996731e+00,6.000000000000000000e+00
-2.249409666692110932e+01,-6.673021280534777055e+00,6.000000000000000000e+00
-2.287805315827529284e+01,-6.776310664296191888e+00,6.000000000000000000e+00
-2.326201580377059486e+01,-6.879596343843006778e+00,6.000000000000000000e+00
-2.364598480772141542e+01,-6.982877970290276792e+00,6.000000000000000000e+00
-2.402995886569641470e+01,-7.086155152725299722e+00,6.000000000000000000e+00
-2.441393254308222893e+01,-7.189426409674077867e+00,6.000000000000000000e+00
-2.479789935331981354e+01,-7.292690218145000181e+00,6.000000000000000000e+00
-2.518185289132020444e+01,-7.395944896549965009e+00,6.000000000000000000e+00
-2.556578677783829434e+01,-7.499189008922466648e+00,6.000000000000000000e+00
-2.594969471119764037e+01,-7.602420922876068410e+00,6.000000000000000000e+00
-2.633357030326564541e+01,-7.705638998154027419e+00,6.000000000000000000e+00
-2.671740705654731229e+01,-7.808841809778545695e+00,6.000000000000000000e+00
-2.710119876395821237e+01,-7.912027729399796705e+00,6.000000000000000000e+00
-2.748493905467127263e+01,-8.015195142807908013e+00,6.000000000000000000e+00
-2.786862130828539108e+01,-8.118342432865659930e+00,6.000000000000000000e+00
-2.825223939065255863e+01,-8.221468186721910598e+00,6.000000000000000000e+00
-2.863578643476171948e+01,-8.324570620008925559e+00,6.000000000000000000e+00
-2.901923918159487670e+01,-8.427644316946258485e+00,6.000000000000000000e+00
-2.940263066214529530e+01,-8.530725123439756530e+00,6.000000000000000000e+00
-2.978611197703079227e+01,-8.633913860374310190e+00,6.000000000000000000e+00
-3.016986431057707918e+01,-8.737321379356998818e+00,6.000000000000000000e+00
-3.055407068533726545e+01,-8.841059202254156091e+00,6.000000000000000000e+00
-3.093891434858779022e+01,-8.945238755704112421e+00,6.000000000000000000e+00
-3.132468745091549778e+01,-9.050001105115930145e+00,6.000000000000000000e+00
-3.171298950640168712e+01,-9.155685572595572808e+00,6.000000000000000000e+00
-3.210155699317319744e+01,-9.259243608254227098e+00,6.000000000000000000e+00
-3.247409688281913986e+01,-9.353131021105781429e+00,5.539348528339127498e+00
-3.283424621769227514e+01,-9.449260704034101011e+00,4.947005938069752418e+00
-3.323629057486216709e+01,-9.572309146683734227e+00,4.222594686437304290e+00
-3.370830053369677159e+01,-9.688038598430237514e+00,3.339070294613760925e+00
-3.425309517200993525e+01,-9.717086687873850437e+00,2.389022334516257118e+00
-3.480353140951747548e+01,-9.564163647360095055e+00,2.422633851957770812e+00
-3.525644066514831820e+01,-9.262406623049328047e+00,2.981374551740861190e+00
-3.560717899604590997e+01,-8.892857048212636784e+00,3.591467250563560754e+00
-3.588255227896623722e+01,-8.500191155528101561e+00,4.119478432579906979e+00
-3.610165144716958707e+01,-8.111305158232809731e+00,4.579070141285438211e+00
-3.628504040032834155e+01,-7.737043234710419881e+00,4.992361505380861431e+00
-3.645243805174549578e+01,-7.382871276316087972e+00,5.372971201866972635e+00
-3.662264125941999282e+01,-7.042978637213738402e+00,5.729076363722120924e+00
-3.680241279817542477e+01,-6.707832279279019261e+00,6.000000000000000000e+00
-3.699190384531214448e+01,-6.375542690545191959e+00,6.000000000000000000e+00
-3.719028147657745365e+01,-6.046224822647451980e+00,6.000000000000000000e+00
-3.739670144836528465e+01,-5.719990871326340098e+00,6.000000000000000000e+00
-3.761031120752048906e+01,-5.396947833941849737e+00,6.000000000000000000e+00
-3.783034908668999208e+01,-5.077054768050754063e+00,6.000000000000000000e+00
-3.805620518802018637e+01,-4.759669023915493291e+00,6.000000000000000000e+00
-3.828705025848699961e+01,-4.443615508562706928e+00,6.000000000000000000e+00
-3.852180483739062566e+01,-4.127936611034885850e+00,6.000000000000000000e+00
-3.875933692559787858e+01,-3.811704581385842783e+00,6.000000000000000000e+00
-3.899849217566538329e+01,-3.493979080980587071e+00,6.000000000000000000e+00
-3.923808362701111463e+01,-3.173820000597100233e+00,6.000000000000000000e+00
-3.947652401242130793e+01,-2.850831521405066571e+00,6.000000000000000000e+00
-3.971243053566636405e+01,-2.525863059287121626e+00,6.000000000000000000e+00
-3.994570918496398093e+01,-2.199998636149311793e+00,6.000000000000000000e+00
-4.017684012408960115e+01,-1.873672903719802996e+00,6.000000000000000000e+00
-4.040633350937246604e+01,-1.547272029734312770e+00,6.000000000000000000e+00
-4.063469578652735237e+01,-1.221179470123706645e+00,6.000000000000000000e+00
-4.086247702053974962e+01,-8.957086369988227492e-01,6.000000000000000000e+00
-4.109032667523820237e+01,-5.708343676645052378e-01,6.000000000000000000e+00
-4.131854476712749857e+01,-2.462664081043924869e-01,6.000000000000000000e+00
-4.154715463076041715e+01,7.808038608088418986e-02,6.000000000000000000e+00
-4.177613220402457017e+01,4.022234359105897328e-01,6.000000000000000000e+00
-4.200545343590712122e+01,7.261802751874839590e-01,6.000000000000000000e+00
