x_m,y_m,vx_mps
-1.557654507862310800e-01,5.794282736813609613e-01,6.000000000000000000e+00
-5.396931242696696440e-01,4.762223076277083966e-01,6.000000000000000000e+00
-9.236248887238426297e-01,3.730208560587830458e-01,6.000000000000000000e+00
-1.307559780961125018e+00,2.698223088440246942e-01,6.000000000000000000e+00
-1.691496960287166784e+00,1.666247688119754655e-01,6.000000000000000000e+00
-2.075435564330590399e+00,6.342666280122666311e-02,6.000000000000000000e+00
-2.459374711800459856e+00,-3.977380057193835583e-02,6.000000000000000000e+00
-2.843313544646212332e+00,-1.429784130004527753e-01,6.000000000000000000e+00
-3.227250978880202847e+00,-2.461887095775036061e-01,6.000000000000000000e+00
-3.611184903543853686e+00,-3.494058483690829497e-01,6.000000000000000000e+00
-3.995114050343543610e+00,-4.526294456571848812e-01,6.000000000000000000e+00
-4.379038561014731101e+00,-5.558592366926478068e-01,6.000000000000000000e+00
-4.762958571091825632e+00,-6.590950773954795672e-01,6.000000000000000000e+00
-5.146874233135340759e+00,-7.623367854793394738e-01,6.000000000000000000e+00
-5.530785673827287141e+00,-8.655840921358464168e-01,6.000000000000000000e+00
-5.914693314843600724e+00,-9.688367283348922054e-01,6.000000000000000000e+00
-6.298597274359440057e+00,-1.072094683050298869e+00,6.000000000000000000e+00
-6.682497640434916342e+00,-1.175357539369847437e+00,6.000000000000000000e+00
-7.066394748643151758e+00,-1.278625243785690202e+00,6.000000000000000000e+00
-7.450288796718315787e+00,-1.381897546601600579e+00,6.000000000000000000e+00
-7.834179943765906096e+00,-1.485174288687350241e+00,6.000000000000000000e+00
-8.218068316477756596e+00,-1.588455201231695924e+00,6.000000000000000000e+00
-8.601954256980816282e+00,-1.691740015231644412e+00,6.000000000000000000e+00
-8.985837879192107636e+00,-1.795028718516264998e+00,6.000000000000000000e+00
-9.369719443059574715e+00,-1.898320955759256190e+00,6.000000000000000000e+00
-9.753599146663265884e+00,-2.001616541577067476e+00,6.000000000000000000e+00
-1.013747711242555738e+01,-2.104915365123150472e+00,6.000000000000000000e+00
-1.052135363271386126e+01,-2.208217101201387589e+00,6.000000000000000000e+00
-1.090522891411655770e+01,-2.311521624874043113e+00,6.000000000000000000e+00
-1.128910305320108520e+01,-2.414828738778350026e+00,6.000000000000000000e+00
-1.167297635968546210e+01,-2.518138143799536266e+00,6.000000000000000000e+00
-1.205684899268169552e+01,-2.621449760373745441e+00,6.000000000000000000e+00
-1.244072117579184500e+01,-2.724763266212829382e+00,6.000000000000000000e+00
-1.282459317781994024e+01,-2.828078589864833958e+00,6.000000000000000000e+00
-1.320846502234080333e+01,-2.931395398031284127e+00,6.000000000000000000e+00
-1.359233701478861533e+01,-3.034713549563935686e+00,6.000000000000000000e+00
-1.397620939156115938e+01,-3.138032863322061772e+00,6.000000000000000000e+00
-1.436008230326783419e+01,-3.241353040200159796e+00,6.000000000000000000e+00
-1.474395601442788184e+01,-3.344674007597250309e+00,6.000000000000000000e+00
-1.512783068188608837e+01,-3.447995504818661239e+00,6.000000000000000000e+00
-1.551170641104973669e+01,-3.551317300151724421e+00,6.000000000000000000e+00
-1.589558359970697587e+01,-3.654639234484732935e+00,6.000000000000000000e+00
-1.627946230157375140e+01,-3.757961062193731827e+00,6.000000000000000000e+00
-1.666334279623956860e+01,-3.861282555624186763e+00,6.000000000000000000e+00
-1.704722529880464066e+01,-3.964603570733929327e+00,6.000000000000000000e+00
-1.743110999196480293e+01,-4.067923933347240784e+00,6.000000000000000000e+00
-1.781499696379437125e+01,-4.171243385678653048e+00,6.000000000000000000e+00
-1.819888660357565158e+01,-4.274561708187148312e+00,6.000000000000000000e+00
-1.858277894996000867e+01,-4.377878730756049386e+00,6.000000000000000000e+00
-1.896667432345451587e+01,-4.481194157189568372e+00,6.000000000000000000e+00
-1.935057297780433316e+01,-4.584507991550635708e+00,6.000000000000000000e+00
-1.973447490419578898e+01,-4.687819870428578284e+00,6.000000000000000000e+00
-2.011838045326867785e+01,-4.791129585295075266e+00,6.000000000000000000e+00
-2.050228978414790859e+01,-4.894436977048870041e+00,6.000000000000000000e+00
-2.088620319149384841e+01,-4.997741822095470354e+00,6.000000000000000000e+00
-2.127012072247595142e+01,-5.101044010766269565e+00,6.000000000000000000e+00
-2.165404265669475237e+01,-5.204343156303421480e+00,6.000000000000000000e+00
-2.203796924789682166e+01,-5.307639262775511568e+00,6.000000000000000000e+00
-2.242190059923284906e+01,-5.410931917355903842e+00,6.000000000000000000e+00
-2.280583706134269306e+01,-5.514221070625459298e+00,6.000000000000000000e+00
-2.318977875243603393e+01,-5.617506472922544347e+00,6.000000000000000000e+00
-2.357372574554901945e+01,-5.720787941993723535e+00,6.000000000000000000e+00
-2.395767847282064267e+01,-5.824065190270566461e+00,6.000000000000000000e+00
-2.434163617020875137e+01,-5.927337972212375128e+00,6.000000000000000000e+00
-2.472559377084600740e+01,-6.030604905252981318e+00,6.000000000000000000e+00
-2.510954487311060035e+01,-6.133864489230453465e+00,6.000000000000000000e+00
-2.549348315302398760e+01,-6.237115064352661165e+00,6.000000000000000000e+00
-2.587740226076372707e+01,-6.340355202545922886e+00,6.000000000000000000e+00
-2.626129560982538536e+01,-6.443583194816448589e+00,6.000000000000000000e+00
-2.664515717750075652e+01,-6.546797499154102695e+00,6.000000000000000000e+00
-2.702898041399063445e+01,-6.649996676496494175e+00,6.000000000000000000e+00
-2.741275879731189136e+01,-6.753179013813221054e+00,6.000000000000000000e+00
-2.779648612833744892e+01,-6.856342943047280869e+00,6.000000000000000000e+00
-2.818015598017420587e+01,-6.959486899069005084e+00,6.000000000000000000e+00
-2.856376207612931140e+01,-7.062609430689342993e+00,6.000000000000000000e+00
-2.894729839503300184e+01,-7.165708980895807656e+00,6.000000000000000000e+00
-2.933077960378264493e+01,-7.268790329015479834e+00,6.000000000000000000e+00
-2.971432239704172318e+01,-7.371911824242145528e+00,6.000000000000000000e+00
-3.009812715556932972e+01,-7.475187607818700286e+00,6.000000000000000000e+00
-3.048237722371088765e+01,-7.578729268592982571e+00,6.000000000000000000e+00
-3.086725426669778471e+01,-7.682648202493622236e+00,6.000000000000000000e+00
-3.125293940681135396e+01,-7.787055582450553182e+00,6.000000000000000000e+00
-3.163950502213587868e+01,-7.892033101736346978e+00,6.000000000000000000e+00
-3.202511165566728124e+01,-7.996988129801369638e+00,6.000000000000000000e+00
-3.240284644450284901e+01,-8.097682302718663294e+00,6.000000000000000000e+00
-3.277564723852371742e+01,-8.191637421048319823e+00,5.539348528339127498e+00
-3.316562567138537787e+01,-8.295923087518422889e+00,4.947005938069752418e+00
-3.355748100377488186e+01,-8.416092597600103531e+00,4.222594686437304290e+00
-3.389568812615488014e+01,-8.502759774611659438e+00,3.339070294613760925e+00
-3.413321895453091770e+01,-8.523089329215581600e+00,2.389022334516257118e+00
-3.429679907488105073e+01,-8.476403406758370451e+00,2.422633851957770812e+00
-3.447647546813563224e+01,-8.350455806695199712e+00,2.981374551740861190e+00
-3.467572800392643018e+01,-8.136286463746362330e+00,3.591467250563560754e+00
-3.486669333821313188e+01,-7.861418416213107996e+00,4.119478432579906979e+00
-3.503929765005402430e+01,-7.553268949950460609e+00,4.579070141285438211e+00
-3.520363579446781443e+01,-7.216885490921443491e+00,4.992361505380861431e+00
-3.537345103085085185e+01,-6.857717004943465255e+00,5.372971201866972635e+00
-3.555732465696844713e+01,-6.490619572346411736e+00,5.729076363722120924e+00
-3.575237610447756254e+01,-6.126951102197107701e+00,6.000000000000000000e+00
-3.595666417095771550e+01,-5.768682890721111178e+00,6.000000000000000000e+00
-3.616923223288151235e+01,-5.415781770542062112e+00,6.000000000000000000e+00
-3.638913434962149296e+01,-5.068217489291585665e+00,6.000000000000000000e+00
-3.661543352655269956e+01,-4.725964674755157802e+00,6.000000000000000000e+00
-3.684710045122801603e+01,-4.389143348707994718e+00,6.000000000000000000e+00
-3.708279508747015996e+01,-4.057904977994659212e+00,6.000000000000000000e+00
-3.732104781870890520e+01,-3.731689047232058520e+00,6.000000000000000000e+00
-3.756059404786007150e+01,-3.409553831390183642e+00,6.000000000000000000e+00
-3.780022092070609574e+01,-3.090527426201062244e+00,6.000000000000000000e+00
-3.803873856779303964e+01,-2.773650675198878979e+00,6.000000000000000000e+00
-3.827498941457886161e+01,-2.457964192504793921e+00,6.000000000000000000e+00
-3.850825310744914987e+01,-2.141993419590282333e+00,6.000000000000000000e+00
-3.873899960937890086e+01,-1.824127901448267197e+00,6.000000000000000000e+00
-3.896820473830293707e+01,-1.503949028177379965e+00,6.000000000000000000e+00
-3.919638819869954460e+01,-1.181781277813738207e+00,6.000000000000000000e+00
-3.942403954337994065e+01,-8.579980897259372741e-01,6.000000000000000000e+00
-3.965165203576980701e+01,-5.329752968607504027e-01,6.000000000000000000e+00
-3.987967547913741129e+01,-2.071586168716096910e-01,6.000000000000000000e+00
-4.010828541234289446e+01,1.187995627442124669e-01,6.000000000000000000e+00
-4.033730815487668764e+01,4.445119288305144911e-01,6.000000000000000000e+00
-4.056667200172931587e+01,7.699285010369532056e-01,6.000000000000000000e+00
-4.079635264455669841e+01,1.095066863279959612e+00,6.000000000000000000e+00
-4.102632576391504671e+01,1.419944645805773176e+00,6.000000000000000000e+00
-4.125656709751340401e+01,1.744579542031058583e+00,6.000000000000000000e+00
-4.148705243496061001e+01,2.068989188643628463e+00,6.000000000000000000e+00
-4.171775737520122362e+01,2.393191081022856714e+00,6.000000000000000000e+00
